ESIDNumber,Latitude,Longitude,eclipse_type,coverage,FirstContactDate,FirstContactTimeUTC,SecondContactTimeUTC,ThirdContactTimeUTC,FourthContactTimeUTC,TotalEclipseTimeUTC
1,34.53804,-93.03621,Total,100,4/8/2024,17:31:56,18:49:24,18:53:05,20:10:10,18:51:15
2,41.2124,-81.5759,Total,100,4/8/2024,17:59:07,19:13:53,19:17:12,20:28:57,19:15:32
4,29.4195767,-99.6087549,Total,100,4/8/2024,17:12:47,18:30:12,18:34:31,19:53:48,18:32:21
12,37.464196,-89.77532,Total,100,4/8/2024,17:41:40,18:58:01,19:02:09,20:17:09,19:00:05
14,45.515893,-122.587539,Partial,22.32,4/8/2024,17:33:39,N/A,N/A,19:19:51,18:25:50
15,34.51126,-93.06024,Total,100,4/8/2024,17:31:51,18:49:20,18:53:00,20:10:06,18:51:10
16,33.709684,-95.4926622,Total,100,4/8/2024,17:26:48,18:44:04,18:48:04,20:05:37,18:46:04
34,34.0027,-118.25613,Partial,48.89,4/8/2024,17:05:58,N/A,N/A,19:21:58,18:12:08
53,29.52436,-98.58079,Total,100,4/8/2024,17:14:28,18:33:19,18:35:12,19:55:38,18:34:15
55,35.98343,-92.86608,Total,100,4/8/2024,17:34:39,18:51:51,18:55:03,20:11:41,18:53:27
71,32.8984253,-96.9337889,Total,100,4/8/2024,17:23:14,18:40:53,18:44:07,20:02:29,18:42:30
73,36.8,-90.4,Total,100,4/8/2024,17:39:41,18:56:16,19:00:25,20:15:50,18:58:21
78,44.74256,-72.58918,Total,100,4/8/2024,18:15:10,19:26:45,19:30:06,20:37:43,19:28:26
89,42.12702,-80.08697,Total,100,4/8/2024,18:02:19,19:16:16,19:19:59,20:30:44,19:18:08
92,42.000989,-80.439561,Total,100,4/8/2024,18:01:40,19:15:43,19:19:27,20:30:21,19:17:35
96,40.9226,-83.98505,Total,100,4/8/2024,17:55:11,19:10:07,19:13:48,20:26:09,19:11:58
98,33.89,-94.7515,Total,100,4/8/2024,17:28:13,18:45:23,18:49:42,20:06:57,18:47:33
102,37.8664,-90.531098,Total,100,4/8/2024,17:41:11,18:58:43,19:00:01,20:16:22,18:59:22
103,43.79568,-72.18011,Partial,98.89,4/8/2024,18:15:10,N/A,N/A,20:38:10,19:28:43
105,29.620494,-99.528884,Total,100,4/8/2024,17:13:17,18:30:39,18:35:02,19:54:12,18:32:50
108,42.866523,-78.667772,Total,100,4/8/2024,18:05:07,19:18:30,19:22:15,20:32:16,19:20:23
115,39.93902,-86.26903,Total,100,4/8/2024,17:50:32,19:06:11,19:09:32,20:23:02,19:07:52
117,32.725876,-114.61021,Partial,59.64,4/8/2024,17:04:53,0,0,19:28:45,18:14:57
118,34.947778,-81.933056,Partial,81.23,4/8/2024,17:51:40,0,0,20:24:56,19:09:49
119,41.883889,-87.912778,Partial,93.31,4/8/2024,17:51:00,0:00:00,0:00:00,20:21:34,19:07:12
120,31.053038,-97.640924,Total,100,4/8/2024,17:18:45,18:36:20,18:40:28,19:59:11,18:38:24
121,32.833662,-97.272222,Total,100,4/8/2024,17:22:38,18:40:42,18:42:59,20:01:53,18:41:51
122,25.50617936,-80.43085617,Partial,45.81,4/8/2024,17:46:47,0,0,20:12:27,19:00:56
124,30.351576,-99.270759,Total,100,4/8/2024,17:15:04,18:32:23,18:36:40,19:55:37,18:34:31
134,35.61292,-93.83612,Total,100,4/8/2024,17:32:36,18:50:42,18:52:08,20:09:56,18:51:25
136,27.670518,-97.32774,Partial,93.06,4/8/2024,17:12:57,0,0,19:54:55,18:33:09
138,34.56449,-92.3477,Total,100,4/8/2024,17:33:02,18:51:38,18:53:10,20:11:12,18:52:24
139,35.43789,-97.51955,Partial,93.62,4/8/2024,17:27:14,0,0,20:04:01,18:45:21
144,41.55425,-72.6633606,Partial,91.39,4/8/2024,18:13:08,0,0,20:37:39,19:27:31
146,32.82625,-97.18712,Total,100,4/8/2024,17:22:44,18:40:38,18:43:19,20:02:00,18:41:58
147,32.04413,-106.62485,Partial,80.73,4/8/2024,17:09:46,0,0,19:44:25,18:25:39
149,29.3465422,-99.13989529,Total,100,4/8/2024,17:13:19,18:31:18,18:34:43,19:54:28,18:33:01
151,27.4726593,-99.4748946,Partial,97.89,4/8/2024,17:09:14,0,0,19:51:09,18:29:08
163,30.95447,-95.91512,Partial,98.59,4/8/2024,17:21:10,0,0,20:01:48,18:41:08
167,30.3537946,-93.1822415,Partial,90.49,4/8/2024,17:24:37,0,0,20:05:08,18:44:50
169,30.0328,-99.0905,Total,100,4/8/2024,17:14:42,18:32:05,18:36:28,19:55:29,18:34:17
171,30.45075,-99.79952778,Total,100,4/8/2024,17:14:31,18:32:15,18:35:23,19:54:51,18:33:49
172,29.860051,-98.4833,Total,100,4/8/2024,17:15:15,18:33:26,18:36:34,19:56:16,18:35:00
174,30.1007767,-98.8202804,Total,100,4/8/2024,17:15:13,18:32:43,18:36:58,19:56:02,18:34:51
175,29.21023,-99.77858,Total,100,4/8/2024,17:12:08,18:29:35,18:33:50,19:53:13,18:31:42
177,29.22198,-99.73889,Total,100,4/8/2024,17:12:12,18:29:41,18:33:55,19:53:18,18:31:48
186,41.022639,-82.927076,Total,100,4/8/2024,17:56:53,19:11:34,19:15:28,20:27:24,19:13:31
191,29.6327,-100.4387,Total,100,4/8/2024,17:12:02,18:29:28,18:33:14,19:52:41,18:31:21
193,29.524703,-95.800443,Partial,94.47,4/8/2024,17:18:47,0,0,20:00:03,18:38:59
196,33.148493,-95.601458,Total,100,4/8/2024,17:25:38,18:42:53,18:47:14,20:04:52,18:45:04
197,27.957222,-97.124167,Partial,93.34,4/8/2024,17:13:48,0:00:00,0:00:00,19:55:41,18:34:01
198,32.849779,-97.492761,Partial,99.99,4/8/2024,17:22:21,0,0,20:01:32,18:41:31
200,30.95447,-95.91512,Partial,98.59,4/8/2024,17:21:10,0,0,20:01:48,18:41:08
201,34.52847,-93.06775,Total,100,4/8/2024,17:31:52,18:49:19,18:53:02,20:10:06,18:51:11
204,29.523398,-95.803043,Partial,94.47,4/8/2024,17:18:47,0,0,20:00:03,18:38:58
208,31.84405,-100.9803,Partial,95.39,4/8/2024,17:15:44,0:00:00,0:00:00,19:54:33,18:34:14
209,44.5174,-74.30237,Total,100,4/8/2024,18:12:40,19:24:36,19:28:11,20:36:19,19:26:23
211,32.43488,-97.661457,Total,100,4/8/2024,17:21:20,18:39:15,18:41:55,20:00:48,18:40:35
217,31.91251,-100.93769,Partial,95.31,4/8/2024,17:15:55,0,0,19:54:42,18:34:25
230,40.173,-83.086,Total,100,4/8/2024,17:55:37,19:11:40,19:13:39,20:26:56,19:12:40
231,41.1523219,-82.8789084,Total,100,4/8/2024,17:57:06,19:11:44,19:15:38,20:27:29,19:13:41
232,34.53593,-93.02804,Total,100,4/8/2024,17:31:56,18:49:25,18:53:05,20:10:10,18:51:15
236,34.863504,-92.4096875,Total,100,4/8/2024,17:33:27,18:51:02,18:54:22,20:11:23,18:52:42
239,33.26208,-93.87962,Partial,99.93,4/8/2024,17:28:26,0,0,20:07:37,18:48:04
240,34.866044,-92.412937,Total,100,4/8/2024,17:33:27,18:51:02,18:54:22,20:11:23,18:52:42
242,35.1145,-92.429,Total,100,4/8/2024,17:33:50,18:51:02,18:54:58,20:11:35,18:53:00
243,35.83914,-94.04385,Partial,99.57,4/8/2024,17:32:42,0,0,20:09:48,18:51:23
244,35.332269,-92.7959,Total,100,4/8/2024,17:33:39,18:50:34,18:54:50,20:11:14,18:52:42
246,34.589909,-93.982558,Total,100,4/8/2024,17:30:36,18:47:39,18:51:55,20:08:48,18:49:47
247,34.6367689,-92.5131982,Total,100,4/8/2024,17:32:54,18:50:51,18:53:37,20:11:01,18:52:14
249,35.19956,-94.35374,Total,100,4/8/2024,17:31:08,18:49:10,18:50:54,20:08:47,18:50:02
253,30.4474,-99.7997,Total,100,4/8/2024,17:14:31,18:32:14,18:35:23,19:54:51,18:33:48
255,31.93494,-102.302368,Partial,91.91,4/8/2024,17:14:17,0,0,19:52:19,18:32:16
258,39.07237,-87.919589,Total,100,4/8/2024,17:46:52,19:02:59,19:06:15,20:20:33,19:04:37
259,40.7203129,-89.2733188,Partial,94.61,4/8/2024,17:47:25,0,0,20:19:27,19:04:13
264,40.5849,-86.66903,Partial,99.28,4/8/2024,17:50:51,0,0,20:22:47,19:07:51
266,41.3122543,-81.3189806,Total,100,4/8/2024,17:59:37,19:14:19,19:17:35,20:29:16,19:15:58
271,40.0223813,-85.3023171,Total,100,4/8/2024,17:52:05,19:07:22,19:11:20,20:24:16,19:09:21
272,37.68269,-97.13662,Partial,87.99,4/8/2024,17:32:00,0,0,20:06:20,18:49:02
275,38.14525,-83.768303,Partial,95.75,4/8/2024,17:52:05,0,0,20:25:12,19:09:59
278,30.032047,-89.9615039,Partial,81.7,4/8/2024,17:29:57,0,0,20:09:12,18:49:57
281,41.828606,-70.794038,Partial,90.22,4/8/2024,18:16:09,0,0,20:39:13,19:29:54
282,42.478016,-73.006385,Partial,95.25,4/8/2024,18:13:09,0,0,20:37:28,19:27:23
286,38.6665,-76.63624,Partial,85.91,4/8/2024,18:04:40,0,0,20:33:06,19:20:51
288,29.87778,-99.708056,Total,100,4/8/2024,17:13:32,18:30:49,18:35:10,19:54:15,18:32:59
289,37.557033,-90.668792,Total,100,4/8/2024,17:40:29,18:57:25,19:00:12,20:15:58,18:58:49
290,42.22264,-73.72216,Partial,95.18,4/8/2024,18:11:55,0:00:00,0:00:00,20:36:50,19:26:25
292,44.46311,-71.68203,Total,100,4/8/2024,18:16:15,19:28:56,19:29:53,20:38:30,19:29:25
294,32.20485,-97.65127,Total,100,4/8/2024,17:20:54,18:38:29,18:42:00,20:00:33,18:40:14
296,43.074892,-70.950331,Partial,95.12,4/8/2024,18:16:32,0,0,20:39:10,19:30:00
297,33.078899,-94.850061,Total,100,4/8/2024,17:26:38,18:44:26,18:47:57,20:05:57,18:46:12
298,38.61381667,-90.49445,Partial,98.68,4/8/2024,17:42:26,0,0,20:16:51,19:00:16
301,42.37164,-83.46766,Partial,98.77,4/8/2024,17:57:44,0,0,20:27:04,19:13:43
305,31.429475,-97.7591801,Total,100,4/8/2024,17:19:17,18:36:37,18:41:01,19:59:28,18:38:49
310,38.55626,-90.46249,Partial,98.87,4/8/2024,17:42:23,0,0,20:16:52,19:00:15
312,39.21961,-94.60044,Partial,88.85,4/8/2024,17:37:58,0,0,20:11:12,18:54:47
313,37.75965,-89.94976,Total,100,4/8/2024,17:41:52,18:58:22,19:01:56,20:17:06,19:00:09
317,38.104403,-90.326928,Partial,99.96,4/8/2024,17:41:51,0,0,20:16:47,18:59:57
319,37.4758,-93.7394,Partial,95.86,4/8/2024,17:36:00,0,0,20:11:29,18:53:58
322,39.006026,-92.3167252,Partial,94.15,4/8/2024,17:40:33,0,0,20:14:29,18:57:57
323,38.879542,-92.302189,Partial,94.56,4/8/2024,17:40:22,0,0,20:14:26,18:57:50
329,35.499,-82.608366,Partial,84.46,4/8/2024,17:51:00,0:00:00,0:00:00,20:24:40,19:09:17
333,46.7426705,-67.9548206,Total,100,4/8/2024,18:22:15,19:32:11,19:34:51,20:40:41,19:33:31
334,43.9413872,-70.8661975,Partial,98.12,4/8/2024,18:17:06,0,0,20:39:12,19:30:15
341,45.05632,-70.20339,Total,100,4/8/2024,18:18:35,19:30:00,19:32:16,20:39:33,19:31:08
343,31.88207,-91.14704,Partial,90.38,4/8/2024,17:30:38,0,0,20:10:01,18:50:38
345,40.0066347,-74.1605021,Partial,87.44,4/8/2024,18:09:48,0,0,20:35:58,19:24:59
349,31.86939,-91.13199,Partial,90.31,4/8/2024,17:30:39,0,0,20:10:01,18:50:39
350,43.0413078,-78.4538938,Total,100,4/8/2024,18:05:36,19:18:52,19:22:36,20:32:30,19:20:44
356,42.04103,-74.12232,Partial,95.01,4/8/2024,18:11:12,0,0,20:36:28,19:25:51
367,42.85830313,-73.79308336,Partial,97.51,4/8/2024,18:12:14,0,0,20:36:49,19:26:32
373,43.009303,-76.1806,Total,100,4/8/2024,18:08:51,19:23:01,19:24:13,20:34:41,19:23:37
375,40.7831545,-84.0028968,Total,100,4/8/2024,17:54:59,19:09:54,19:13:45,20:26:05,19:11:50
377,39.807606,-83.88765,Total,100,4/8/2024,17:53:57,19:10:07,19:12:19,20:25:52,19:11:13
380,40.9198853,-83.9845502,Total,100,4/8/2024,17:55:11,19:10:07,19:13:48,20:26:09,19:11:57
381,40.6083288,-82.5102391,Total,100,4/8/2024,17:57:01,19:12:25,19:15:13,20:27:45,19:13:49
383,40.7325,-84.183611,Total,100,4/8/2024,17:54:40,19:09:37,19:13:26,20:25:51,19:11:32
384,40.160117,-82.923983,Total,100,4/8/2024,17:55:51,19:12:20,19:13:27,20:27:07,19:12:53
391,41.3810753,-83.6755355,Total,100,4/8/2024,17:56:13,19:11:18,19:14:10,20:26:38,19:12:44
395,40.7661489,-81.7328776,Total,100,4/8/2024,17:58:23,19:14:14,19:15:48,20:28:40,19:15:01
407,40.74097,-84.01915,Total,100,4/8/2024,17:54:55,19:09:50,19:13:42,20:26:03,19:11:46
408,40.90814,-83.90913,Total,100,4/8/2024,17:55:17,19:10:11,19:13:56,20:26:14,19:12:03
416,44.50552,-72.86493,Total,100,4/8/2024,18:14:39,19:26:31,19:29:36,20:37:32,19:28:04
418,42.139118,-80.087658,Total,100,4/8/2024,18:02:20,19:16:16,19:19:59,20:30:44,19:18:08
419,40.7512005,-79.8129517,Partial,98.09,4/8/2024,18:01:19,0,0,20:30:43,19:17:41
426,31.69629,-97.14195,Total,100,4/8/2024,17:20:41,18:38:06,18:42:26,20:00:47,18:40:16
430,32.6933,-97.43444,Total,100,4/8/2024,17:22:08,18:40:12,18:42:31,20:01:28,18:41:22
431,32.29904,-96.94812,Total,100,4/8/2024,17:22:06,18:39:24,18:43:42,20:01:48,18:41:33
432,33.087019,-96.7783653,Total,100,4/8/2024,17:23:48,18:41:33,18:44:33,20:02:57,18:43:03
433,30.04582,-95.58545,Partial,95.42,4/8/2024,17:20:04,0,0,20:01:07,18:40:12
435,30.465684,-97.639366,Total,100,4/8/2024,17:17:39,18:36:11,18:38:41,19:58:26,18:37:26
437,29.4637,-98.4715,Partial,99.98,4/8/2024,17:14:31,0,0,19:55:44,18:34:20
439,32.6841,-95.5414,Total,100,4/8/2024,17:24:52,18:42:31,18:46:24,20:04:27,18:44:27
